experiment,commit,seed,hardware,rust_version,mode,rule,train_pairs,test_pairs,cdt_enabled,rqm_enabled,field_only,cosine_dynamic,cosine_static,cosine_linear,cosine_nn,cosine_table,coord_err_dynamic,rule_generalization,novel_state_generation,experience_gain,leakage_score,cdt_query_count,rqm_query_count,energy,stability,steps_trained,encoder_hash,dynamics_hash,verdict,periphery,notes
E18B_episodic_cdt_consolidation,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.899652,-0.512095,0.889182,0.701020,0.000000,0.563393,0.899652,1.000000,0.000000,0,0,0,0.100348,0.999943,640,f2c62dc4a49889c4,97285f798fdd2e06,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=0.563 elapsed_ms=22.3
E18C_cdt_vs_no_cdt,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.351429,0.097084,0.243401,0.262434,0.000000,0.000000,0.351429,0.000000,0.108029,0,0,0,0.000000,0.000000,0,,,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),C0=0.097 C1=0.243 C2=0.351 C3=0.262 gain(C2-max(C0;C1))=0.108 elapsed_ms=24.4
E19_no_lookup_audit,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,-0.339990,0.577030,-0.252764,-0.293605,0.000000,1.299405,-0.339990,-0.339990,0.000000,0,0,0,1.339990,0.999991,3200,0e9a224df8f6cd99,6b9ba5679d4717c1,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),E19 audit-only: leakage=0 cdt_q=0 rqm_q=0 table_q=0 nn_q=0 attractor_q=0; wrapped_E18A_verdict=NEGATIVE; A5 never in train; FIELD_ONLY; static=0.577 linear=-0.253 nn=-0.294 table=0.000 coord_err=1.299 audit_path=input→encoder→D_phi→output elapsed_ms=40.2
E20_trajectory_vs_rule,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=1.5;dy=0.5),10,1,false,false,true,0.559116,0.845149,0.000000,0.000000,0.000000,0.000000,0.559116,0.000000,-0.286033,0,0,0,0.000000,0.000000,1600,70c300cc1c2223df,a00243e89476a609,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),cos_rule=0.559 cos_traj=0.845 delta=-0.286 elapsed_ms=33.5
E21_abstract_rule_param,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1); extrap dx=3,12,6,false,false,true,0.771533,0.384999,0.269216,0.000000,0.000000,0.000000,0.771533,0.269216,0.000000,0,0,0,0.000000,0.000000,1920,2f3af93e5e720fb5,57c01e256a2a5054,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),same_param_cos=0.772 extrap_raw=0.385 extrap_ctx=0.269 elapsed_ms=44.9
E22_unobserved_composition,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,T2(T1(x)) never trained,14,4,false,false,true,0.417439,0.194056,0.000000,0.553200,0.000000,0.000000,0.417439,0.000000,0.000000,0,0,0,0.000000,0.000000,1400,7875afce39519b2f,341e6741affd774a,NULL,numeric_field_only (GGUF on disk unused for rule core),compose2=0.417 one_step=0.194 nn=0.553 elapsed_ms=28.9
E23_long_horizon,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=0.5;dy=0.25),16,1,false,false,true,0.586773,0.395855,0.391449,0.000000,0.000000,0.000000,0.395855,0.000000,0.000000,0,0,0,0.000000,0.398974,1920,b2625169ff215a82,19a937b825f226e7,NULL,numeric_field_only (GGUF on disk unused for rule core),horizons_cos=["0.587"; "0.268"; "0.349"; "0.396"; "0.414"; "0.391"] pert_h8=["0.396"; "0.398"; "0.404"; "0.398"] elapsed_ms=32.6
E24_static_vs_dynamic,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R2_rotation(theta=0.5236),10,4,false,false,true,-0.109655,0.740447,0.726887,0.000000,0.000000,0.000000,-0.109655,0.000000,-0.850103,0,0,0,0.000000,0.000000,800,050d78161e3bf7ae,5f436f1b18af8f42,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),dynamic=-0.110 static=0.740 random_dyn=0.727 delta=-0.850 elapsed_ms=29.1
E25_cdt_experience_not_answer,c0bba6f,923172,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.649175,-0.262315,0.803430,0.977731,0.000000,1.972206,0.649175,0.649175,0.000000,0,0,0,0.350825,0.999886,640,6591b8333f2f08d5,9f8bcfae93165c3e,NULL,numeric_field_only (GGUF on disk unused for rule core),scaffold via E18B path (novel target not in CDT); full multi-family deferred. consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=1.972 elapsed_ms=24.3
E26_experience_ablation,c0bba6f,923175,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.919781,0.197932,0.944842,0.869980,0.000000,0.000000,0.919781,0.000000,-0.025061,0,0,0,0.000000,0.000000,0,,,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),ablation mapped to E18C C0..C3; C0=0.198 C1=0.945 C2=0.920 C3=0.870 gain(C2-max(C0;C1))=-0.025 elapsed_ms=23.2
E27_rule_transfer,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: cross-family transfer not fully instrumented in this pass
E28_continual_forgetting,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: continual R1/R2/R3 protocol not fully run
E29_causal_intervention,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: checkpoint intervene/rollback not wired
E30_persistence_restart,c0bba6f,923649,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: process restart persistence not wired
FASE_A_field_only_scaffold,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),FIELD_ONLY defaults: RQM=OFF CDT=OFF; leakage=0; path=input→encoder→D_phi→output
E18A_direct_no_cdt,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.835093,0.277105,0.916563,0.921572,0.000000,0.365226,0.835093,0.835093,0.000000,0,0,0,0.164907,0.999789,3200,247adf3ddcb687b4,830542d612da8ecd,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),A5 never in train; FIELD_ONLY; static=0.277 linear=0.917 nn=0.922 table=0.000 coord_err=0.365 audit_path=input→encoder→D_phi→output elapsed_ms=41.4
E18B_episodic_cdt_consolidation,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.354658,0.924244,0.534358,-0.263387,0.000000,1.252907,0.354658,0.354658,0.000000,0,0,0,0.645342,0.999981,640,527f9fe162fa988a,86f828b059ef6473,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=1.253 elapsed_ms=23.3
E18C_cdt_vs_no_cdt,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.676396,0.712879,0.825960,0.824280,0.000000,0.000000,0.676396,0.000000,-0.149564,0,0,0,0.000000,0.000000,0,,,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),C0=0.713 C1=0.826 C2=0.676 C3=0.824 gain(C2-max(C0;C1))=-0.150 elapsed_ms=28.0
E19_no_lookup_audit,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.835093,0.277105,0.916563,0.921572,0.000000,0.365226,0.835093,0.835093,0.000000,0,0,0,0.164907,0.999789,3200,247adf3ddcb687b4,830542d612da8ecd,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),E19 audit-only: leakage=0 cdt_q=0 rqm_q=0 table_q=0 nn_q=0 attractor_q=0; wrapped_E18A_verdict=PARTIAL; A5 never in train; FIELD_ONLY; static=0.277 linear=0.917 nn=0.922 table=0.000 coord_err=0.365 audit_path=input→encoder→D_phi→output elapsed_ms=40.2
E20_trajectory_vs_rule,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=1.5;dy=0.5),10,1,false,false,true,0.533122,0.963020,0.000000,0.000000,0.000000,0.000000,0.533122,0.000000,-0.429898,0,0,0,0.000000,0.000000,1600,d30fb4dfe7cf6ba8,9128fc0cf0f69a84,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),cos_rule=0.533 cos_traj=0.963 delta=-0.430 elapsed_ms=33.8
E21_abstract_rule_param,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1); extrap dx=3,12,6,false,false,true,0.933375,0.209456,0.489469,0.000000,0.000000,0.000000,0.933375,0.489469,0.000000,0,0,0,0.000000,0.000000,1920,90ae2a09f177c2c6,28634df7502b7ca6,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),same_param_cos=0.933 extrap_raw=0.209 extrap_ctx=0.489 elapsed_ms=43.7
E22_unobserved_composition,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,T2(T1(x)) never trained,14,4,false,false,true,0.333204,0.314052,0.000000,0.114683,0.000000,0.000000,0.333204,0.000000,0.000000,0,0,0,0.000000,0.000000,1400,553797fceddbb68a,ab9a262e4ea02c8f,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),compose2=0.333 one_step=0.314 nn=0.115 elapsed_ms=27.9
E23_long_horizon,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=0.5;dy=0.25),16,1,false,false,true,0.917821,0.512947,0.073788,0.000000,0.000000,0.000000,0.512947,0.000000,0.000000,0,0,0,0.000000,0.512255,1920,ddd5ff423c999d53,d2268ccf2d8ab9fd,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),horizons_cos=["0.918"; "0.779"; "0.615"; "0.513"; "0.278"; "0.074"] pert_h8=["0.511"; "0.521"; "0.519"; "0.498"] elapsed_ms=32.5
E24_static_vs_dynamic,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R2_rotation(theta=0.5236),10,4,false,false,true,0.258098,0.632397,0.620255,0.000000,0.000000,0.000000,0.258098,0.000000,-0.374298,0,0,0,0.000000,0.000000,800,e76d0d8797b11fd7,9470aa97bdff47bd,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),dynamic=0.258 static=0.632 random_dyn=0.620 delta=-0.374 elapsed_ms=26.8
E25_cdt_experience_not_answer,c0bba6f,923175,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.953226,-0.173937,0.986299,0.989264,0.000000,0.694230,0.953226,1.000000,0.000000,0,0,0,0.046774,0.999938,640,e9b3bded9799c96a,88754800cf9ff6ee,STRONG_POSITIVE,numeric_field_only (GGUF on disk unused for rule core),scaffold via E18B path (novel target not in CDT); full multi-family deferred. consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=0.694 elapsed_ms=27.8
E26_experience_ablation,c0bba6f,923172,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.740669,0.894083,0.866516,0.825199,0.000000,0.000000,0.740669,0.000000,-0.153414,0,0,0,0.000000,0.000000,0,,,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),ablation mapped to E18C C0..C3; C0=0.894 C1=0.867 C2=0.741 C3=0.825 gain(C2-max(C0;C1))=-0.153 elapsed_ms=23.2
E27_rule_transfer,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: cross-family transfer not fully instrumented in this pass
E28_continual_forgetting,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: continual R1/R2/R3 protocol not fully run
E29_causal_intervention,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: checkpoint intervene/rollback not wired
E30_persistence_restart,c0bba6f,923650,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,INVALID,numeric_field_only (GGUF on disk unused for rule core),DEFERRED: process restart persistence not wired
FASE_A_field_only_scaffold,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),FIELD_ONLY defaults: RQM=OFF CDT=OFF; leakage=0; path=input→encoder→D_phi→output
E18A_direct_no_cdt,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.623294,-0.051767,0.332779,0.868868,0.000000,0.920894,0.623294,0.623294,0.000000,0,0,0,0.376706,0.999824,3200,80003678af44d792,553517fa0b758b97,NULL,numeric_field_only (GGUF on disk unused for rule core),A5 never in train; FIELD_ONLY; static=-0.052 linear=0.333 nn=0.869 table=0.000 coord_err=0.921 audit_path=input→encoder→D_phi→output elapsed_ms=43.4
E18B_episodic_cdt_consolidation,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.393415,0.733288,0.850351,0.008755,0.000000,4.781141,0.393415,0.393415,0.000000,0,0,0,0.606585,0.999998,640,5eda235e10f19625,aec08e85c3c80422,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=4.781 elapsed_ms=23.7
E18C_cdt_vs_no_cdt,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.564150,0.566602,0.539274,0.564561,0.000000,0.000000,0.564150,0.000000,-0.002452,0,0,0,0.000000,0.000000,0,,,NULL,numeric_field_only (GGUF on disk unused for rule core),C0=0.567 C1=0.539 C2=0.564 C3=0.565 gain(C2-max(C0;C1))=-0.002 elapsed_ms=27.0
E19_no_lookup_audit,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.623294,-0.051767,0.332779,0.868868,0.000000,0.920894,0.623294,0.623294,0.000000,0,0,0,0.376706,0.999824,3200,80003678af44d792,553517fa0b758b97,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),E19 audit-only: leakage=0 cdt_q=0 rqm_q=0 table_q=0 nn_q=0 attractor_q=0; wrapped_E18A_verdict=NULL; A5 never in train; FIELD_ONLY; static=-0.052 linear=0.333 nn=0.869 table=0.000 coord_err=0.921 audit_path=input→encoder→D_phi→output elapsed_ms=38.9
E20_trajectory_vs_rule,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=1.5;dy=0.5),10,1,false,false,true,-0.824521,0.798885,0.000000,0.000000,0.000000,0.000000,-0.824521,0.000000,-1.623406,0,0,0,0.000000,0.000000,1600,3319ce835fbcef3d,08b1f4b857e333a2,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),cos_rule=-0.825 cos_traj=0.799 delta=-1.623 elapsed_ms=36.0
E21_abstract_rule_param,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1); extrap dx=3,12,6,false,false,true,0.039795,0.130077,0.149592,0.000000,0.000000,0.000000,0.039795,0.149592,0.000000,0,0,0,0.000000,0.000000,1920,c369fb91cf48ff55,8c43b5f30e4ec4cc,NULL,numeric_field_only (GGUF on disk unused for rule core),same_param_cos=0.040 extrap_raw=0.130 extrap_ctx=0.150 elapsed_ms=48.5
E22_unobserved_composition,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,T2(T1(x)) never trained,14,4,false,false,true,0.419687,0.480616,0.000000,0.795602,0.000000,0.000000,0.419687,0.000000,0.000000,0,0,0,0.000000,0.000000,1400,0e0a69c0e89587cc,dde546be98149286,NULL,numeric_field_only (GGUF on disk unused for rule core),compose2=0.420 one_step=0.481 nn=0.796 elapsed_ms=28.5
E23_long_horizon,c0bba6f,923651,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=0.5;dy=0.25),16,1,false,false,true,0.852554,0.839554,-0.002344,0.000000,0.000000,0.000000,0.839554,0.000000,0.000000,0,0,0,0.000000,0.847872,1920,343de276aacc6619,6a945c06c80dce28,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),horizons_cos=["0.853"; "0.770"; "0.877"; "0.840"; "0.471"; "-0.002"] pert_h8=["0.839"; "0.845"; "0.860"; "0.848"] elapsed_ms=30.2
